nome,endereco,telefone,site,tem_site
Clínica da Família José de Souza Herdy,"Clínica da Família José de Souza Herdy, Avenida Ayrton Senna 3383, Barra da Tijuca, Rio de Janeiro - RJ, 22775-001, Brazil",+55 21 97441 8697,https://smscfjsherdy.blogspot.com/,Sim
Dra. Daniela Botti Meodentista,"Dra. Daniela Botti Meodentista, Praça do Chafariz Bloco 21 sala 315, Barra da Tijuca, Rio de Janeiro - RJ, 22640-100, Brazil",55-21-996926413,https://linktr.ee/dradanielabotti,Sim
Dr Paulo R A Castro,"Dr Paulo R A Castro, Avenida das Américas 3333, Barra da Tijuca, Rio de Janeiro - RJ, 22631-003, Brazil",+55 21 9590 40238,https://www.odontomicroscopia.com.br/,Sim
Moraes Odontologia Preventiva,"Moraes Odontologia Preventiva, Avenida Nossa Senhora de Copacabana 1052, Copacabana, Rio de Janeiro - RJ, 22060-000, Brazil",+55 21 97951 3372,https://www.moraesodonto.com.br/home/index.php,Sim
Coordenacao de Emergencia Regional Cer Barra,"Coordenacao de Emergencia Regional Cer Barra, Ciclovia Ayrton Senna, Barra da Tijuca, Rio de Janeiro - RJ, 22775-055, Brazil",+55 35507060,,Não
Coordenacao de Emergencia Regional Leblon,"Coordenacao de Emergencia Regional Leblon, Rua Mário Ribeiro, Leblon, Rio de Janeiro - RJ, 22430-160, Brazil",+55 2529-9227,,Não
Centro Municipal de Saúde Joao Barros Barreto,"Centro Municipal de Saúde Joao Barros Barreto, Rua Tenreiro Aranha, Copacabana, Rio de Janeiro - RJ, 22031-040, Brazil",+55 21 3208-5295,,Não
GIOE,"wax and mani pedi, Rua Domingos Ferreira 59, Copacabana, Rio de Janeiro - RJ, 22050-011, Brazil",,http://gioepeemao.com.br,Sim
Multi-Imagem,"Multi-Imagem, Rua Almirante Saddock de Sá 266, Ipanema, Rio de Janeiro - RJ, 22411-040, Brazil",(21) 2522-2001,https://www.multi-imagemrj.com.br/,Sim
Quiropraxia Elisa Dallegravs,"Quiropraxia Elisa Dallegravs, Avenida Armando Lombardi 597, Barra da Tijuca, Rio de Janeiro - RJ, 22640-000, Brazil",+5521991898369,,Não
Clínica da Família Cantagalo Pavão - Pavãozinho,"Clínica da Família Cantagalo Pavão - Pavãozinho, Estrada do Cantagalo, Copacabana, Rio de Janeiro - RJ, 22420-010, Brazil",+55 21 25234127,,Não
Clínica da Família Jose de Souza Herdy,"Clínica da Família Jose de Souza Herdy, Ciclovia Avenida Ayrton Senna, Barra da Tijuca, Rio de Janeiro - RJ, 22775-002, Brazil",+55 35238635,,Não
Consulta Carioca,"Consulta Carioca, Avenida Nossa Senhora de Copacabana 731, Copacabana, Rio de Janeiro - RJ, 22050-002, Brazil",+55 21 2042-0303,https://www.consultacarioca.com.br/,Sim
Clínica Odontológica BelAcarda,"Clínica Odontológica BelAcarda, Rua Santa Clara 60, Copacabana, Rio de Janeiro - RJ, 22050-001, Brazil",(21) 99630-8273,,Não
Centro Médico Richet Barra,"Centro Médico Richet Barra, Avenida das Américas 4801, Barra da Tijuca, Rio de Janeiro - RJ, 22631-004, Brazil",+55 (21) 2430-1500,,Não
NATURELLES ESTÉTICA E SAÚDE INTEGRATIVA,"NATURELLES ESTÉTICA E SAÚDE INTEGRATIVA, Avenida Engenheiro Carlos Carvalho 01, Barra da Tijuca, Rio de Janeiro - RJ, 22775-040, Brazil",+5521999143883,,Não
Bela Ferraz,"Bela Ferraz, Rua Visconde de Pirajá 259, Ipanema, Rio de Janeiro - RJ, 22411-010, Brazil",,https://belaferraz.com.br/lojas/,Sim
Melo Franco Medical Center,"Melo Franco Medical Center, Avenida Afrânio de Melo Franco 141, Leblon, Rio de Janeiro - RJ, 22440-060, Brazil",,,Não
Centro Médico BarraShopping,"Centro Médico BarraShopping, Avenida Luís Carlos Prestes, Barra da Tijuca, Rio de Janeiro - RJ, 22775-055, Brazil",,,Não
Túlio Régis Salomão & Gilberto Ranchini,"Túlio Régis Salomão & Gilberto Ranchini, Rua Barata Ribeiro 51, Copacabana, Rio de Janeiro - RJ, 22011-002, Brazil",,,Não
Yasgrig Med,"Yasgrig Med, Rua Duvivier 96, Copacabana, Rio de Janeiro - RJ, 22020-002, Brazil",,,Não
Centro Odontológico São José,"Centro Odontológico São José, Rua Barata Ribeiro 13, Copacabana, Rio de Janeiro - RJ, 22011-001, Brazil",,,Não
CoPa DePil,"CoPa DePil, Rua Barata Ribeiro 194G, Copacabana, Rio de Janeiro - RJ, 22011-002, Brazil",,,Não
Barra Baby,"Barra Baby, Avenida das Américas 6700 Bl 2 Sala 212, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Clínica Odontológica,"Clínica Odontológica, Avenida das Américas 6700 Bl 2 Sala 211, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Dr Orlando Silva Telles,"Dr Orlando Silva Telles, Avenida das Américas 6700 Bloco 2 Sala 205, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Dra Elizabeth Maria Ribeiro,"Dra Elizabeth Maria Ribeiro, Avenida das Américas 6700 Bloco 2 Sala 206, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
DraTania Koutsoukos DraMarcia Weiland,"DraTania Koutsoukos DraMarcia Weiland, Avenida das Américas 6700 Bloco 2 Sala 208, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Oftalmo Clínica Pinho,"Oftalmo Clínica Pinho, Avenida das Américas 6700 Bloco 2 Sala 207, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Prophylaxis - Clínica de Vacinação,"Prophylaxis - Clínica de Vacinação, Avenida das Américas 6700 Bloco 1 Sala 215, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Dra Roberta de Sá F Leite,"Dra Roberta de Sá F Leite, Avenida das Américas 6700 Bloco 1 Sala 216, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
Espaço Pé & Mão,"Espaço Pé & Mão, Acesso às Docas, Barra da Tijuca, Rio de Janeiro - RJ, 22775-003, Brazil",,,Não
Oficina das Unhas,"Oficina das Unhas, Avenida General Felicíssimo Cardoso, Barra da Tijuca, Rio de Janeiro - RJ, 22631-003, Brazil",,,Não
Maison 25,"Maison 25, Avenida Nossa Senhora de Copacabana, Leme, Rio de Janeiro - RJ, 22011-010, Brazil",,,Não
Ambulatório Vera Resende Suassuna,"Ambulatório Vera Resende Suassuna, Praça Euvaldo Lodi, Barra da Tijuca, Rio de Janeiro - RJ, 22640-010, Brazil",,,Não
Duo Capelli,"Duo Capelli, Rua Desembargador João Claudino Oliveira Cruz, Barra da Tijuca, Rio de Janeiro - RJ, 22793-909, Brazil",,,Não
Cia Médica,"Cia Médica, Avenida das Américas 6700, Barra da Tijuca, Rio de Janeiro - RJ, 22793-911, Brazil",,,Não
MG Studio,"MG Studio, Ala Belize, Barra da Tijuca, Rio de Janeiro - RJ, 22793-074, Brazil",,,Não
Clínica do Emagrecimento,"Clínica do Emagrecimento, Ala Antigua, Barra da Tijuca, Rio de Janeiro - RJ, 22793-074, Brazil",,,Não
Rycardo Ximenes Studio,"Rycardo Ximenes Studio, Ala Antigua, Barra da Tijuca, Rio de Janeiro - RJ, 22793-074, Brazil",,,Não
Salão,"Salão, Rua Conselheiro Lafaiete 110, Copacabana, Rio de Janeiro - RJ, 22081-025, Brazil",,,Não
Casa do Médico,"Casa do Médico, Ciclovia Ayrton Senna, Barra da Tijuca, Rio de Janeiro - RJ, 22775-055, Brazil",,,Não
Corpus de Lune,"Corpus de Lune, Avenida das Américas 5001, Barra da Tijuca, Rio de Janeiro - RJ, 22631-004, Brazil",,,Não
Clínica Ortopedista,"Clínica Ortopedista, Avenida das Américas 4801, Barra da Tijuca, Rio de Janeiro - RJ, 22631-004, Brazil",,,Não
Toque Médico,"Toque Médico, Ciclovia Ayrton Senna, Barra da Tijuca, Rio de Janeiro - RJ, 22775-055, Brazil",,,Não
Centro de Tratamento Reumatológico & Esportivo,"Centro de Tratamento Reumatológico & Esportivo, Avenida Embaixador Abelardo Bueno 3500, Barra da Tijuca, Rio de Janeiro - RJ, 22775-060, Brazil",,,Não
Depyl Action,"Depyl Action, Rua Bruno Giorgi, Barra Olímpica, Rio de Janeiro - RJ, 22775-040, Brazil",,,Não
Sorriso Odontologia,"Sorriso Odontologia, Rua Bruno Giorgi, Barra Olímpica, Rio de Janeiro - RJ, 22775-040, Brazil",,,Não
Núcleo Fisionline,"Núcleo Fisionline, Rua Bruno Giorgi, Barra Olímpica, Rio de Janeiro - RJ, 22775-040, Brazil",,,Não
PDC - Saúde,"PDC - Saúde, Ciclovia Avenida Ayrton Senna, Barra da Tijuca, Rio de Janeiro - RJ, 22775-002, Brazil",,,Não
PDC - Saúde,"PDC - Saúde, Ciclovia Avenida Ayrton Senna, Barra da Tijuca, Rio de Janeiro - RJ, 22775-002, Brazil",,,Não
Clínica Felippe Mattoso,"Clínica Felippe Mattoso, Avenida das Américas, Barra da Tijuca, Rio de Janeiro - RJ, 22631-390, Brazil",,,Não
World Free,"World Free, Avenida das Américas 5150, Barra da Tijuca, Rio de Janeiro - RJ, 22640-102, Brazil",,,Não
Care Body & Soul,"Care Body & Soul, Rua Barão de Jaguaripe, Ipanema, Rio de Janeiro - RJ, 22410-002, Brazil",,,Não
Bella Ilha,"Bella Ilha, Alameda das Palmeiras, Barra da Tijuca, Rio de Janeiro - RJ, 22640-352, Brazil",,,Não
Centro Médico BarraShopping II,"Centro Médico BarraShopping II, Avenida das Américas 4666, Barra da Tijuca, Rio de Janeiro - RJ, 22640-120, Brazil",,,Não
"Quem Disse, Berenice?","Quem Disse, Berenice?, Avenida Engenheiro Carlos Carvalho 1300, Barra Olímpica, Rio de Janeiro - RJ, 22775-040, Brazil",,,Não
Ronaldo Pontes,"Ronaldo Pontes, Rua Aníbal de Mendonça, Ipanema, Rio de Janeiro - RJ, 22410-050, Brazil",,,Não
